plant,treatment,length,avgDiam,rootVolume,FRL,CRL,FRS,CRS,FVOL,weight
1,Control,4779.2252,0.32255,4.06,4751.9709,26.4192,408.5734,35.8163,4.2822,3.7838
1,PH462,6297.6545,0.3839,7.291,6268.4288,27.6743,646.5831,32.6249,8.5598,6.1835
1,PH480,3388.9135,0.4355,5.048,3360.5239,27.3543,380.1616,33.2083,5.5482,3.3352
1,PH487,5173.5298999999995,0.5421499999999999,12.036,5084.0259,88.4845,725.0016,87.3647,12.2304,7.3686
1,PH494,5361.6168,0.6335,17.401,5264.8156,95.9822,879.6056,102.4554,16.586199999999998,8.4208
1,PH504,2952.7377,0.4078,3.856,2909.9272,42.2531,295.3875,49.4006,3.758,2.8059
1,PH505,3238.9124,0.42675,4.679,3207.8271999999997,30.419,365.599,31.232100000000003,5.0659,3.3599
1,PH518,5008.1709,0.58185,13.387,4906.2762,100.9312,731.3081999999999,103.6484,12.7754,7.8626
1,PH521,4602.7593,0.44455,7.176,4566.0614000000005,36.0476,551.4594,41.2623,7.6892,4.1792
1,PH531,2808.6601,0.408,3.672,2778.9636,28.9332,287.8951,39.5444,3.5747,3.2522
1,PH537,4311.8003,0.34475,4.126,4290.9902,19.693800000000003,401.461,25.3474,4.8304,4.0806
1,PH541,3522.7427,0.4687,6.937,3485.5458,36.7576,463.6346,44.7391,7.0280000000000005,2.6491
2,Control,8542.5201,0.31,6.5,8515.3924,25.237,727.9648,31.5252,7.5044,6.7265
2,PH462,5862.2108,0.4224,8.213,5791.7267,68.2781,604.2075,84.8891,8.4334,5.7423
2,PH480,3280.0765,0.4132,4.398,3248.276,30.6782,348.464,32.2132,5.2095,2.6278
2,PH487,3417.0089,0.4848,6.307,3375.7024,40.2875,406.1399,60.4104,5.813,2.9631
2,PH494,4089.4516,0.48055,7.475,4040.0983,48.7574,513.8071,56.090599999999995,7.927300000000001,4.0775
2,PH504,4409.948,0.3171,3.483,4388.2119,20.1287,372.3861,21.2245,3.8678,3.3057
2,PH505,3762.4555,0.3648,3.967,3741.1583,20.6848,362.6329,28.1973,4.3139,3.5703
2,PH518,6768.6049,0.4864,12.576,6691.8781,75.3844,867.8936,73.7512,13.1658,7.8763
2,PH521,4494.0666,0.5002,8.847999999999999,4432.7932,60.60510000000001,591.5203,62.8931,8.7921,3.9347
2,PH531,2970.6665,0.3994,3.722,2936.8405,33.1267,300.4,41.8448,3.7837,3.2907
